Datetime,Connection_1
2026-08-24 11:00:00+02:00,101.89705756498398
2026-08-24 12:00:00+02:00,116.31823302635055
2026-08-24 13:00:00+02:00,120.98193504240894
2026-08-24 14:00:00+02:00,115.19925778520823
2026-08-24 15:00:00+02:00,102.15823039477104
2026-08-24 16:00:00+02:00,82.74889101176981
2026-08-24 17:00:00+02:00,58.365177051032596
2026-08-24 18:00:00+02:00,34.21626104030077
2026-08-24 19:00:00+02:00,18.177111955999408
2026-08-24 20:00:00+02:00,3.0840218096058516
2026-08-24 21:00:00+02:00,0.0
2026-08-24 22:00:00+02:00,0.0
2026-08-24 23:00:00+02:00,0.0
2026-08-25 00:00:00+02:00,0.0
2026-08-25 01:00:00+02:00,0.0
2026-08-25 02:00:00+02:00,0.0
2026-08-25 03:00:00+02:00,0.0
2026-08-25 04:00:00+02:00,0.0
2026-08-25 05:00:00+02:00,0.0
2026-08-25 06:00:00+02:00,0.0
2026-08-25 07:00:00+02:00,0.027649431651631966
2026-08-25 08:00:00+02:00,4.229529736553338
2026-08-25 09:00:00+02:00,38.66983727605504
2026-08-25 10:00:00+02:00,76.7767792794496
2026-08-25 11:00:00+02:00,93.3693175012194
2026-08-25 12:00:00+02:00,105.93343504713162
2026-08-25 13:00:00+02:00,60.77045767106093
2026-08-25 14:00:00+02:00,79.71680804953782
2026-08-25 15:00:00+02:00,53.727485786694
2026-08-25 16:00:00+02:00,34.24220486482076
2026-08-25 17:00:00+02:00,25.633213387916133
2026-08-25 18:00:00+02:00,16.706358523568188
2026-08-25 19:00:00+02:00,8.784522182244997
2026-08-25 20:00:00+02:00,0.9141950862604408
2026-08-25 21:00:00+02:00,0.0
2026-08-25 22:00:00+02:00,0.0
2026-08-25 23:00:00+02:00,0.0
2026-08-26 00:00:00+02:00,0.0
2026-08-26 01:00:00+02:00,0.0
2026-08-26 02:00:00+02:00,0.0
2026-08-26 03:00:00+02:00,0.0
2026-08-26 04:00:00+02:00,0.0
2026-08-26 05:00:00+02:00,0.0
2026-08-26 06:00:00+02:00,0.0
2026-08-26 07:00:00+02:00,0.019801612117329264
2026-08-26 08:00:00+02:00,4.464246372756213
2026-08-26 09:00:00+02:00,12.912623798965631
2026-08-26 10:00:00+02:00,22.162435498674622
2026-08-26 11:00:00+02:00,31.002514655175705
2026-08-26 12:00:00+02:00,36.51752684836774
2026-08-26 13:00:00+02:00,51.98867686261659
2026-08-26 14:00:00+02:00,90.33138931857043
2026-08-26 15:00:00+02:00,102.5652768107536
2026-08-26 16:00:00+02:00,83.5051414426156
2026-08-26 17:00:00+02:00,34.31258806014076
2026-08-26 18:00:00+02:00,17.113146770214264
2026-08-26 19:00:00+02:00,17.60805797605807
2026-08-26 20:00:00+02:00,1.4217984109017316
2026-08-26 21:00:00+02:00,0.0
2026-08-26 22:00:00+02:00,0.0
2026-08-26 23:00:00+02:00,0.0
2026-08-27 00:00:00+02:00,0.0
2026-08-27 01:00:00+02:00,0.0
